entry_time,exit_time,direction,entry_price,exit_price,result,pnl_pct,dollar_pnl,equity
2026-01-20 11:45:00-05:00,2026-01-20 14:30:00-05:00,short,89996.453125,89266.64553320079,SL,0.811,257.78,10257.78
2026-01-29 12:40:00-05:00,2026-01-29 13:25:00-05:00,short,84664.21875,83665.01442754424,SL,1.18,353.18,10610.96
2026-01-31 09:10:00-05:00,2026-01-31 09:25:00-05:00,short,82310.21875,81504.07304594797,TP,0.979,455.95,11066.92
2026-02-09 09:10:00-05:00,2026-02-09 09:35:00-05:00,short,68403.8203125,69146.84307460948,SL,-1.086,-430.13,10636.78
2026-02-16 10:10:00-05:00,2026-02-16 10:30:00-05:00,short,68435.4453125,67476.03753289896,SL,1.402,442.89,11079.67
2026-02-18 09:10:00-05:00,2026-02-18 09:50:00-05:00,short,67248.3125,66780.31879430922,SL,0.696,297.99,11377.66
2026-02-23 11:30:00-05:00,2026-02-23 12:15:00-05:00,short,65557.0703125,64994.92020300063,SL,0.857,293.97,11671.63
2026-02-24 09:15:00-05:00,2026-02-24 09:40:00-05:00,short,62862.0390625,63295.84568700955,SL,-0.69,-472.76,11198.88
2026-02-27 11:55:00-05:00,2026-02-28 01:25:00-05:00,short,65505.83984375,64478.59877329145,SL,1.568,497.71,11696.59
2026-03-08 09:10:00-04:00,2026-03-08 18:05:00-04:00,short,67037.6875,66280.84540099784,TP,1.129,548.8,12245.39
2026-03-18 12:05:00-04:00,2026-03-18 16:05:00-04:00,short,71276.7109375,70670.7458237187,SL,0.85,354.5,12599.88
