risk_pct,sl_mult,trail_dist,trail_act,di_align,vol_mult,n,wr,pf,ret,mdd,calmar
0.05,1.0,0.2,2.0,False,1.2,54,48.1,1.596,27.25,-10.61,2.57
0.05,1.0,0.2,2.0,True,1.0,61,49.2,1.727,40.49,-11.86,3.41
0.05,1.0,0.2,2.0,True,1.2,54,48.1,1.596,27.25,-10.61,2.57
0.05,1.0,0.2,2.5,False,1.0,61,44.3,1.722,44.13,-11.35,3.89
0.05,1.0,0.2,2.5,False,1.2,52,42.3,1.56,27.06,-10.08,2.68
0.05,1.0,0.2,2.5,True,1.0,59,44.1,1.703,41.14,-11.35,3.63
0.05,1.0,0.2,2.5,True,1.2,52,42.3,1.56,27.06,-10.08,2.68
0.05,1.0,0.2,3.0,False,1.0,60,41.7,1.983,77.81,-13.31,5.85
0.05,1.0,0.2,3.0,False,1.2,52,40.4,1.627,32.45,-10.08,3.22
0.05,1.0,0.2,3.0,True,1.0,59,40.7,1.907,69.62,-13.31,5.23
0.05,1.0,0.2,3.0,True,1.2,52,40.4,1.627,32.45,-10.08,3.22
0.05,1.0,0.2,3.5,False,1.0,56,35.7,1.885,67.57,-10.83,6.24
0.05,1.0,0.2,3.5,False,1.2,49,30.6,1.159,8.01,-18.08,0.44
0.05,1.0,0.2,3.5,True,1.0,55,34.5,1.797,58.89,-10.83,5.44
0.05,1.0,0.2,3.5,True,1.2,49,30.6,1.159,8.01,-18.08,0.44
0.05,1.0,0.3,2.0,False,1.0,63,49.2,1.705,40.83,-11.98,3.41
0.05,1.0,0.3,2.0,False,1.2,54,48.1,1.568,25.93,-10.87,2.38
0.05,1.0,0.3,2.0,True,1.0,61,49.2,1.689,38.12,-11.98,3.18
0.05,1.0,0.3,2.0,True,1.2,54,48.1,1.568,25.93,-10.87,2.38
0.05,1.0,0.3,2.5,False,1.0,61,44.3,1.664,39.94,-11.46,3.49
0.05,1.0,0.3,2.5,False,1.2,52,42.3,1.509,24.37,-10.35,2.35
0.05,1.0,0.3,2.5,True,1.0,59,44.1,1.646,37.24,-11.46,3.25
0.05,1.0,0.3,2.5,True,1.2,52,42.3,1.509,24.37,-10.35,2.35
0.05,1.0,0.3,3.0,False,1.0,60,41.7,1.938,73.16,-13.58,5.39
0.05,1.0,0.3,3.0,False,1.2,52,40.4,1.581,29.78,-10.35,2.88
0.05,1.0,0.3,3.0,True,1.0,59,40.7,1.864,65.43,-13.58,4.82
0.05,1.0,0.3,3.0,True,1.2,52,40.4,1.581,29.78,-10.35,2.88
0.05,1.0,0.3,3.5,False,1.0,56,35.7,1.847,63.91,-10.94,5.84
0.05,1.0,0.3,3.5,False,1.2,49,30.6,1.129,6.47,-18.68,0.35
0.05,1.0,0.3,3.5,True,1.0,55,34.5,1.761,55.64,-10.94,5.09
0.05,1.0,0.3,3.5,True,1.2,49,30.6,1.129,6.47,-18.68,0.35
0.05,1.2,0.1,2.0,False,1.0,61,52.5,1.814,49.41,-11.99,4.12
0.05,1.2,0.1,2.0,False,1.2,53,50.9,1.64,30.75,-10.44,2.94
0.05,1.2,0.1,2.0,True,1.0,59,52.5,1.8,46.33,-11.99,3.87
0.05,1.2,0.1,2.0,True,1.2,53,50.9,1.64,30.75,-10.44,2.94
0.05,1.2,0.1,2.5,False,1.0,59,47.5,1.76,48.5,-11.47,4.23
0.05,1.2,0.1,2.5,False,1.2,51,45.1,1.572,29.17,-9.92,2.94
0.05,1.2,0.1,2.5,True,1.0,57,47.4,1.744,45.43,-11.47,3.96
0.05,1.2,0.1,2.5,True,1.2,51,45.1,1.572,29.17,-9.92,2.94
0.05,1.2,0.1,3.0,False,1.0,58,43.1,1.895,73.43,-11.85,6.19
0.05,1.2,0.1,3.0,False,1.2,51,43.1,1.654,35.91,-9.92,3.62
0.05,1.2,0.1,3.0,True,1.0,56,42.9,1.88,68.82,-11.85,5.81
0.05,1.2,0.1,3.0,True,1.2,51,43.1,1.654,35.91,-9.92,3.62
0.05,1.2,0.1,3.5,False,1.0,56,37.5,1.805,66.6,-10.95,6.08
0.05,1.2,0.1,3.5,False,1.2,48,33.3,1.174,9.3,-17.0,0.55
0.05,1.2,0.1,3.5,True,1.0,54,37.0,1.779,61.2,-10.95,5.59
0.05,1.2,0.1,3.5,True,1.2,48,33.3,1.174,9.3,-17.0,0.55
0.05,1.2,0.2,2.0,False,1.0,61,52.5,1.745,44.34,-12.1,3.66
0.05,1.2,0.2,2.0,False,1.2,53,50.9,1.577,27.36,-10.56,2.59
0.05,1.2,0.2,2.0,True,1.0,59,52.5,1.732,41.56,-12.1,3.44
0.05,1.2,0.2,2.0,True,1.2,53,50.9,1.577,27.36,-10.56,2.59
0.05,1.2,0.2,2.5,False,1.0,59,47.5,1.702,44.05,-11.58,3.8
0.05,1.2,0.2,2.5,False,1.2,51,45.1,1.522,26.34,-10.03,2.63
0.05,1.2,0.2,2.5,True,1.0,57,47.4,1.687,41.28,-11.58,3.56
0.05,1.2,0.2,2.5,True,1.2,51,45.1,1.522,26.34,-10.03,2.63
0.05,1.2,0.2,3.0,False,1.0,58,43.1,1.852,68.86,-12.19,5.65
0.05,1.2,0.2,3.0,False,1.2,51,43.1,1.608,33.08,-10.03,3.3
0.05,1.2,0.2,3.0,True,1.0,56,42.9,1.838,64.61,-12.19,5.3
0.05,1.2,0.2,3.0,True,1.2,51,43.1,1.608,33.08,-10.03,3.3
0.05,1.2,0.2,3.5,False,1.0,56,37.5,1.768,62.84,-11.06,5.68
0.05,1.2,0.2,3.5,False,1.2,48,33.3,1.144,7.67,-17.68,0.43
0.05,1.2,0.2,3.5,True,1.0,54,37.0,1.744,57.79,-11.06,5.22
0.05,1.2,0.2,3.5,True,1.2,48,33.3,1.144,7.67,-17.68,0.43
0.05,1.2,0.3,2.0,False,1.0,61,52.5,1.704,41.56,-12.21,3.4
0.05,1.2,0.3,2.0,False,1.2,53,50.9,1.548,25.94,-10.67,2.43
0.05,1.2,0.3,2.0,True,1.0,59,52.5,1.692,39.04,-12.21,3.2
0.05,1.2,0.3,2.0,True,1.2,53,50.9,1.548,25.94,-10.67,2.43
0.05,1.2,0.3,2.5,False,1.0,59,47.5,1.644,39.74,-11.69,3.4
0.05,1.2,0.3,2.5,False,1.2,51,45.1,1.472,23.57,-10.15,2.32
0.05,1.2,0.3,2.5,True,1.0,57,47.4,1.63,37.25,-11.69,3.19
0.05,1.2,0.3,2.5,True,1.2,51,45.1,1.472,23.57,-10.15,2.32
0.05,1.2,0.3,3.0,False,1.0,58,43.1,1.809,64.4,-12.52,5.14
0.05,1.2,0.3,3.0,False,1.2,51,43.1,1.563,30.3,-10.15,2.99
0.05,1.2,0.3,3.0,True,1.0,56,42.9,1.796,60.5,-12.52,4.83
0.05,1.2,0.3,3.0,True,1.2,51,43.1,1.563,30.3,-10.15,2.99
0.05,1.2,0.3,3.5,False,1.0,56,37.5,1.732,59.16,-11.18,5.29
0.05,1.2,0.3,3.5,False,1.2,48,33.3,1.115,6.06,-18.35,0.33
0.05,1.2,0.3,3.5,True,1.0,54,37.0,1.708,54.44,-11.18,4.87
0.05,1.2,0.3,3.5,True,1.2,48,33.3,1.115,6.06,-18.35,0.33
0.05,1.5,0.1,2.0,False,1.0,61,52.5,1.562,38.07,-14.13,2.69
0.05,1.5,0.1,2.0,False,1.2,53,50.9,1.407,21.9,-12.61,1.74
0.05,1.5,0.1,2.0,True,1.0,59,52.5,1.55,35.53,-14.13,2.51
0.05,1.5,0.1,2.0,True,1.2,53,50.9,1.407,21.9,-12.61,1.74
0.05,1.5,0.1,2.5,False,1.0,59,49.2,1.654,47.82,-13.63,3.51
0.05,1.5,0.1,2.5,False,1.2,51,47.1,1.51,29.72,-12.1,2.46
0.05,1.5,0.1,2.5,True,1.0,57,49.1,1.646,45.09,-13.63,3.31
0.05,1.5,0.1,2.5,True,1.2,51,47.1,1.51,29.72,-12.1,2.46
0.05,1.5,0.1,3.0,False,1.0,57,45.6,1.803,74.39,-15.27,4.87
0.05,1.5,0.1,3.0,False,1.2,50,46.0,1.623,38.48,-11.86,3.24
0.05,1.5,0.1,3.0,True,1.0,55,45.5,1.796,70.14,-15.27,4.59
0.05,1.5,0.1,3.0,True,1.2,50,46.0,1.623,38.48,-11.86,3.24
0.05,1.5,0.1,3.5,False,1.0,55,40.0,1.712,66.4,-13.12,5.06
0.05,1.5,0.1,3.5,False,1.2,47,36.2,1.167,10.05,-19.76,0.51
0.05,1.5,0.1,3.5,True,1.0,53,39.6,1.694,61.38,-13.12,4.68
0.05,1.5,0.1,3.5,True,1.2,47,36.2,1.167,10.05,-19.76,0.51
0.05,1.5,0.2,2.0,False,1.0,61,52.5,1.503,33.38,-14.24,2.34
0.05,1.5,0.2,2.0,False,1.2,53,50.9,1.353,18.74,-12.94,1.45
0.05,1.5,0.2,2.0,True,1.0,59,52.5,1.491,31.11,-14.24,2.18
0.05,1.5,0.2,2.0,True,1.2,53,50.9,1.353,18.74,-12.94,1.45
0.05,1.5,0.2,2.5,False,1.0,59,49.2,1.602,43.17,-13.74,3.14
0.05,1.5,0.2,2.5,False,1.2,51,47.1,1.463,26.68,-12.43,2.15
0.05,1.5,0.2,2.5,True,1.0,57,49.1,1.594,40.73,-13.74,2.97
0.05,1.5,0.2,2.5,True,1.2,51,47.1,1.463,26.68,-12.43,2.15
0.05,1.5,0.2,3.0,False,1.0,57,45.6,1.764,69.52,-15.59,4.46
0.05,1.5,0.2,3.0,False,1.2,50,46.0,1.579,35.38,-11.97,2.95
0.05,1.5,0.2,3.0,True,1.0,55,45.5,1.757,65.63,-15.59,4.21
0.05,1.5,0.2,3.0,True,1.2,50,46.0,1.579,35.38,-11.97,2.95
0.05,1.5,0.2,3.5,False,1.0,55,40.0,1.678,62.39,-13.23,4.71
0.05,1.5,0.2,3.5,False,1.2,47,36.2,1.138,8.24,-20.41,0.4
0.05,1.5,0.2,3.5,True,1.0,53,39.6,1.66,57.71,-13.23,4.36
0.05,1.5,0.2,3.5,True,1.2,47,36.2,1.138,8.24,-20.41,0.4
0.05,1.5,0.3,2.0,False,1.0,61,52.5,1.468,30.81,-14.35,2.15
0.05,1.5,0.3,2.0,False,1.2,53,50.9,1.328,17.42,-13.26,1.31
0.05,1.5,0.3,2.0,True,1.0,59,52.5,1.457,28.78,-14.35,2.01
0.05,1.5,0.3,2.0,True,1.2,53,50.9,1.328,17.42,-13.26,1.31
0.05,1.5,0.3,2.5,False,1.0,59,49.2,1.549,38.66,-13.85,2.79
0.05,1.5,0.3,2.5,False,1.2,51,47.1,1.417,23.71,-12.75,1.86
0.05,1.5,0.3,2.5,True,1.0,57,49.1,1.541,36.5,-13.85,2.64
0.05,1.5,0.3,2.5,True,1.2,51,47.1,1.417,23.71,-12.75,1.86
0.05,1.5,0.3,3.0,False,1.0,57,45.6,1.724,64.78,-15.91,4.07
0.05,1.5,0.3,3.0,False,1.2,50,46.0,1.536,32.35,-12.09,2.68
0.05,1.5,0.3,3.0,True,1.0,55,45.5,1.717,61.24,-15.91,3.85
0.05,1.5,0.3,3.0,True,1.2,50,46.0,1.536,32.35,-12.09,2.68
0.05,1.5,0.3,3.5,False,1.0,55,40.0,1.644,58.47,-13.34,4.38
0.05,1.5,0.3,3.5,False,1.2,47,36.2,1.109,6.45,-21.06,0.31
0.05,1.5,0.3,3.5,True,1.0,53,39.6,1.627,54.12,-13.34,4.06
0.05,1.5,0.3,3.5,True,1.2,47,36.2,1.109,6.45,-21.06,0.31
0.06,1.0,0.1,2.0,False,1.0,63,49.2,1.814,48.38,-11.75,4.12
0.06,1.0,0.1,2.0,False,1.2,54,48.1,1.659,30.54,-10.38,2.94
0.06,1.0,0.1,2.0,True,1.0,61,49.2,1.795,45.09,-11.75,3.84
0.06,1.0,0.1,2.0,True,1.2,54,48.1,1.659,30.54,-10.38,2.94
0.06,1.0,0.1,2.5,False,1.0,61,44.3,1.78,48.44,-11.23,4.31
0.06,1.0,0.1,2.5,False,1.2,52,42.3,1.611,29.81,-9.85,3.03
0.06,1.0,0.1,2.5,True,1.0,59,44.1,1.76,45.15,-11.23,4.02
0.06,1.0,0.1,2.5,True,1.2,52,42.3,1.611,29.81,-9.85,3.03
0.06,1.0,0.1,3.0,False,1.0,60,41.7,2.027,82.59,-13.05,6.33
0.06,1.0,0.1,3.0,False,1.2,52,40.4,1.673,35.16,-9.85,3.57
0.06,1.0,0.1,3.0,True,1.0,59,40.7,1.95,73.92,-13.05,5.67
0.06,1.0,0.1,3.0,True,1.2,52,40.4,1.673,35.16,-9.85,3.57
0.06,1.0,0.1,3.5,False,1.0,56,35.7,1.923,71.31,-10.72,6.65
0.06,1.0,0.1,3.5,False,1.2,49,30.6,1.188,9.56,-17.47,0.55
0.06,1.0,0.1,3.5,True,1.0,55,34.5,1.833,62.21,-10.72,5.8
0.06,1.0,0.1,3.5,True,1.2,49,30.6,1.188,9.56,-17.47,0.55
0.06,1.0,0.2,2.0,False,1.0,63,49.2,1.745,43.46,-11.86,3.66
0.06,1.0,0.2,2.0,False,1.2,54,48.1,1.596,27.25,-10.61,2.57
0.06,1.0,0.2,2.0,True,1.0,61,49.2,1.727,40.49,-11.86,3.41
0.06,1.0,0.2,2.0,True,1.2,54,48.1,1.596,27.25,-10.61,2.57
0.06,1.0,0.2,2.5,False,1.0,61,44.3,1.722,44.13,-11.35,3.89
0.06,1.0,0.2,2.5,False,1.2,52,42.3,1.56,27.06,-10.08,2.68
0.06,1.0,0.2,2.5,True,1.0,59,44.1,1.703,41.14,-11.35,3.63
0.06,1.0,0.2,2.5,True,1.2,52,42.3,1.56,27.06,-10.08,2.68
0.06,1.0,0.2,3.0,False,1.0,60,41.7,1.983,77.81,-13.31,5.85
0.06,1.0,0.2,3.0,False,1.2,52,40.4,1.627,32.45,-10.08,3.22
0.06,1.0,0.2,3.0,True,1.0,59,40.7,1.907,69.62,-13.31,5.23
0.06,1.0,0.2,3.0,True,1.2,52,40.4,1.627,32.45,-10.08,3.22
0.06,1.0,0.2,3.5,False,1.0,56,35.7,1.885,67.57,-10.83,6.24
0.06,1.0,0.2,3.5,False,1.2,49,30.6,1.159,8.01,-18.08,0.44
0.06,1.0,0.2,3.5,True,1.0,55,34.5,1.797,58.89,-10.83,5.44
0.06,1.0,0.2,3.5,True,1.2,49,30.6,1.159,8.01,-18.08,0.44
0.06,1.0,0.3,2.0,False,1.0,63,49.2,1.705,40.83,-11.98,3.41
0.06,1.0,0.3,2.0,False,1.2,54,48.1,1.568,25.93,-10.87,2.38
0.06,1.0,0.3,2.0,True,1.0,61,49.2,1.689,38.12,-11.98,3.18
0.06,1.0,0.3,2.0,True,1.2,54,48.1,1.568,25.93,-10.87,2.38
0.06,1.0,0.3,2.5,False,1.0,61,44.3,1.664,39.94,-11.46,3.49
0.06,1.0,0.3,2.5,False,1.2,52,42.3,1.509,24.37,-10.35,2.35
0.06,1.0,0.3,2.5,True,1.0,59,44.1,1.646,37.24,-11.46,3.25
0.06,1.0,0.3,2.5,True,1.2,52,42.3,1.509,24.37,-10.35,2.35
0.06,1.0,0.3,3.0,False,1.0,60,41.7,1.938,73.16,-13.58,5.39
0.06,1.0,0.3,3.0,False,1.2,52,40.4,1.581,29.78,-10.35,2.88
0.06,1.0,0.3,3.0,True,1.0,59,40.7,1.864,65.43,-13.58,4.82
0.06,1.0,0.3,3.0,True,1.2,52,40.4,1.581,29.78,-10.35,2.88
0.06,1.0,0.3,3.5,False,1.0,56,35.7,1.847,63.91,-10.94,5.84
0.06,1.0,0.3,3.5,False,1.2,49,30.6,1.129,6.47,-18.68,0.35
0.06,1.0,0.3,3.5,True,1.0,55,34.5,1.761,55.64,-10.94,5.09
0.06,1.0,0.3,3.5,True,1.2,49,30.6,1.129,6.47,-18.68,0.35
0.06,1.2,0.1,2.0,False,1.0,61,52.5,1.814,49.41,-11.99,4.12
0.06,1.2,0.1,2.0,False,1.2,53,50.9,1.64,30.75,-10.44,2.94
0.06,1.2,0.1,2.0,True,1.0,59,52.5,1.8,46.33,-11.99,3.87
0.06,1.2,0.1,2.0,True,1.2,53,50.9,1.64,30.75,-10.44,2.94
0.06,1.2,0.1,2.5,False,1.0,59,47.5,1.76,48.5,-11.47,4.23
0.06,1.2,0.1,2.5,False,1.2,51,45.1,1.572,29.17,-9.92,2.94
0.06,1.2,0.1,2.5,True,1.0,57,47.4,1.744,45.43,-11.47,3.96
0.06,1.2,0.1,2.5,True,1.2,51,45.1,1.572,29.17,-9.92,2.94
0.06,1.2,0.1,3.0,False,1.0,58,43.1,1.895,73.43,-11.85,6.19
0.06,1.2,0.1,3.0,False,1.2,51,43.1,1.654,35.91,-9.92,3.62
0.06,1.2,0.1,3.0,True,1.0,56,42.9,1.88,68.82,-11.85,5.81
0.06,1.2,0.1,3.0,True,1.2,51,43.1,1.654,35.91,-9.92,3.62
0.06,1.2,0.1,3.5,False,1.0,56,37.5,1.805,66.6,-10.95,6.08
0.06,1.2,0.1,3.5,False,1.2,48,33.3,1.174,9.3,-17.0,0.55
0.06,1.2,0.1,3.5,True,1.0,54,37.0,1.779,61.2,-10.95,5.59
0.06,1.2,0.1,3.5,True,1.2,48,33.3,1.174,9.3,-17.0,0.55
0.06,1.2,0.2,2.0,False,1.0,61,52.5,1.745,44.34,-12.1,3.66
0.06,1.2,0.2,2.0,False,1.2,53,50.9,1.577,27.36,-10.56,2.59
0.06,1.2,0.2,2.0,True,1.0,59,52.5,1.732,41.56,-12.1,3.44
0.06,1.2,0.2,2.0,True,1.2,53,50.9,1.577,27.36,-10.56,2.59
0.06,1.2,0.2,2.5,False,1.0,59,47.5,1.702,44.05,-11.58,3.8
0.06,1.2,0.2,2.5,False,1.2,51,45.1,1.522,26.34,-10.03,2.63
0.06,1.2,0.2,2.5,True,1.0,57,47.4,1.687,41.28,-11.58,3.56
0.06,1.2,0.2,2.5,True,1.2,51,45.1,1.522,26.34,-10.03,2.63
0.06,1.2,0.2,3.0,False,1.0,58,43.1,1.852,68.86,-12.19,5.65
0.06,1.2,0.2,3.0,False,1.2,51,43.1,1.608,33.08,-10.03,3.3
0.06,1.2,0.2,3.0,True,1.0,56,42.9,1.838,64.61,-12.19,5.3
0.06,1.2,0.2,3.0,True,1.2,51,43.1,1.608,33.08,-10.03,3.3
0.06,1.2,0.2,3.5,False,1.0,56,37.5,1.768,62.84,-11.06,5.68
0.06,1.2,0.2,3.5,False,1.2,48,33.3,1.144,7.67,-17.68,0.43
0.06,1.2,0.2,3.5,True,1.0,54,37.0,1.744,57.79,-11.06,5.22
0.06,1.2,0.2,3.5,True,1.2,48,33.3,1.144,7.67,-17.68,0.43
0.06,1.2,0.3,2.0,False,1.0,61,52.5,1.704,41.56,-12.21,3.4
0.06,1.2,0.3,2.0,False,1.2,53,50.9,1.548,25.94,-10.67,2.43
0.06,1.2,0.3,2.0,True,1.0,59,52.5,1.692,39.04,-12.21,3.2
0.06,1.2,0.3,2.0,True,1.2,53,50.9,1.548,25.94,-10.67,2.43
0.06,1.2,0.3,2.5,False,1.0,59,47.5,1.644,39.74,-11.69,3.4
0.06,1.2,0.3,2.5,False,1.2,51,45.1,1.472,23.57,-10.15,2.32
0.06,1.2,0.3,2.5,True,1.0,57,47.4,1.63,37.25,-11.69,3.19
0.06,1.2,0.3,2.5,True,1.2,51,45.1,1.472,23.57,-10.15,2.32
0.06,1.2,0.3,3.0,False,1.0,58,43.1,1.809,64.4,-12.52,5.14
0.06,1.2,0.3,3.0,False,1.2,51,43.1,1.563,30.3,-10.15,2.99
0.06,1.2,0.3,3.0,True,1.0,56,42.9,1.796,60.5,-12.52,4.83
0.06,1.2,0.3,3.0,True,1.2,51,43.1,1.563,30.3,-10.15,2.99
0.06,1.2,0.3,3.5,False,1.0,56,37.5,1.732,59.16,-11.18,5.29
0.06,1.2,0.3,3.5,False,1.2,48,33.3,1.115,6.06,-18.35,0.33
0.06,1.2,0.3,3.5,True,1.0,54,37.0,1.708,54.44,-11.18,4.87
0.06,1.2,0.3,3.5,True,1.2,48,33.3,1.115,6.06,-18.35,0.33
0.06,1.5,0.1,2.0,False,1.0,61,52.5,1.562,38.07,-14.13,2.69
0.06,1.5,0.1,2.0,False,1.2,53,50.9,1.407,21.9,-12.61,1.74
0.06,1.5,0.1,2.0,True,1.0,59,52.5,1.55,35.53,-14.13,2.51
0.06,1.5,0.1,2.0,True,1.2,53,50.9,1.407,21.9,-12.61,1.74
0.06,1.5,0.1,2.5,False,1.0,59,49.2,1.654,47.82,-13.63,3.51
0.06,1.5,0.1,2.5,False,1.2,51,47.1,1.51,29.72,-12.1,2.46
0.06,1.5,0.1,2.5,True,1.0,57,49.1,1.646,45.09,-13.63,3.31
0.06,1.5,0.1,2.5,True,1.2,51,47.1,1.51,29.72,-12.1,2.46
0.06,1.5,0.1,3.0,False,1.0,57,45.6,1.803,74.39,-15.27,4.87
0.06,1.5,0.1,3.0,False,1.2,50,46.0,1.623,38.48,-11.86,3.24
0.06,1.5,0.1,3.0,True,1.0,55,45.5,1.796,70.14,-15.27,4.59
0.06,1.5,0.1,3.0,True,1.2,50,46.0,1.623,38.48,-11.86,3.24
0.06,1.5,0.1,3.5,False,1.0,55,40.0,1.712,66.4,-13.12,5.06
0.06,1.5,0.1,3.5,False,1.2,47,36.2,1.167,10.05,-19.76,0.51
0.06,1.5,0.1,3.5,True,1.0,53,39.6,1.694,61.38,-13.12,4.68
0.06,1.5,0.1,3.5,True,1.2,47,36.2,1.167,10.05,-19.76,0.51
0.06,1.5,0.2,2.0,False,1.0,61,52.5,1.503,33.38,-14.24,2.34
0.06,1.5,0.2,2.0,False,1.2,53,50.9,1.353,18.74,-12.94,1.45
0.06,1.5,0.2,2.0,True,1.0,59,52.5,1.491,31.11,-14.24,2.18
0.06,1.5,0.2,2.0,True,1.2,53,50.9,1.353,18.74,-12.94,1.45
0.06,1.5,0.2,2.5,False,1.0,59,49.2,1.602,43.17,-13.74,3.14
0.06,1.5,0.2,2.5,False,1.2,51,47.1,1.463,26.68,-12.43,2.15
0.06,1.5,0.2,2.5,True,1.0,57,49.1,1.594,40.73,-13.74,2.97
0.06,1.5,0.2,2.5,True,1.2,51,47.1,1.463,26.68,-12.43,2.15
0.06,1.5,0.2,3.0,False,1.0,57,45.6,1.764,69.52,-15.59,4.46
0.06,1.5,0.2,3.0,False,1.2,50,46.0,1.579,35.38,-11.97,2.95
0.06,1.5,0.2,3.0,True,1.0,55,45.5,1.757,65.63,-15.59,4.21
0.06,1.5,0.2,3.0,True,1.2,50,46.0,1.579,35.38,-11.97,2.95
0.06,1.5,0.2,3.5,False,1.0,55,40.0,1.678,62.39,-13.23,4.71
0.06,1.5,0.2,3.5,False,1.2,47,36.2,1.138,8.24,-20.41,0.4
0.06,1.5,0.2,3.5,True,1.0,53,39.6,1.66,57.71,-13.23,4.36
0.06,1.5,0.2,3.5,True,1.2,47,36.2,1.138,8.24,-20.41,0.4
0.06,1.5,0.3,2.0,False,1.0,61,52.5,1.468,30.81,-14.35,2.15
0.06,1.5,0.3,2.0,False,1.2,53,50.9,1.328,17.42,-13.26,1.31
0.06,1.5,0.3,2.0,True,1.0,59,52.5,1.457,28.78,-14.35,2.01
0.06,1.5,0.3,2.0,True,1.2,53,50.9,1.328,17.42,-13.26,1.31
0.06,1.5,0.3,2.5,False,1.0,59,49.2,1.549,38.66,-13.85,2.79
0.06,1.5,0.3,2.5,False,1.2,51,47.1,1.417,23.71,-12.75,1.86
0.06,1.5,0.3,2.5,True,1.0,57,49.1,1.541,36.5,-13.85,2.64
0.06,1.5,0.3,2.5,True,1.2,51,47.1,1.417,23.71,-12.75,1.86
0.06,1.5,0.3,3.0,False,1.0,57,45.6,1.724,64.78,-15.91,4.07
0.06,1.5,0.3,3.0,False,1.2,50,46.0,1.536,32.35,-12.09,2.68
0.06,1.5,0.3,3.0,True,1.0,55,45.5,1.717,61.24,-15.91,3.85
0.06,1.5,0.3,3.0,True,1.2,50,46.0,1.536,32.35,-12.09,2.68
0.06,1.5,0.3,3.5,False,1.0,55,40.0,1.644,58.47,-13.34,4.38
0.06,1.5,0.3,3.5,False,1.2,47,36.2,1.109,6.45,-21.06,0.31
0.06,1.5,0.3,3.5,True,1.0,53,39.6,1.627,54.12,-13.34,4.06
0.06,1.5,0.3,3.5,True,1.2,47,36.2,1.109,6.45,-21.06,0.31
