tp,td,mb,trades,wr,pf,net,max_dd,calmar
6.5,0.3,25,47,44.680851063829785,1.2362051604127806,16.59841712042791,-15.130003838641079,1.0970530673651646
6.5,0.3,30,47,46.808510638297875,1.2481712431303313,17.94528211325014,-13.360159822590346,1.3431936707004755
6.5,0.4,15,48,47.91666666666667,1.1962649836911998,12.237965621611474,-12.558255152109151,0.9744956981190269
6.5,0.4,20,47,48.93617021276596,1.1544655191700182,10.181455429999168,-16.85975803374732,0.603890957961524
6.5,0.4,25,47,44.680851063829785,1.2037434098161404,14.147827415172415,-15.311775505692147,0.9239834668365511
6.5,0.4,30,47,46.808510638297875,1.2164977240121972,15.46638487546299,-13.545722081272919,1.1417910970464547
7.0,0.1,15,48,47.91666666666667,1.2800962033226075,17.96916820577224,-12.558255152109155,1.430865035637879
7.0,0.1,20,47,48.93617021276596,1.238968077885095,16.22025070154439,-16.402889534249155,0.988865447619859
7.0,0.1,25,47,44.680851063829785,1.3008145265705637,21.649773473806945,-14.943882774263928,1.448738176071066
7.0,0.1,30,47,46.808510638297875,1.3111741893569997,23.05498827279858,-13.170157466037532,1.750547655352755
7.0,0.2,15,48,47.91666666666667,1.252241048820239,16.029137389493574,-12.558255152109133,1.2763825225195806
7.0,0.2,20,47,48.93617021276596,1.2108731563153572,14.17370831014783,-16.555312571173832,0.8561425976835461
7.0,0.2,25,47,44.680851063829785,1.2685621520996246,19.098748597263366,-15.036943306452535,1.2701217400392713
7.0,0.2,30,47,46.808510638297875,1.2797300159471798,20.47449570546731,-13.265158644313974,1.5434791437073065
7.0,0.3,15,48,47.91666666666667,1.2242972377438501,14.11887790255274,-12.558255152109151,1.124270667504433
7.0,0.3,20,47,48.93617021276596,1.1827055651624485,12.16095004603936,-16.707602071006537,0.7278692654012159
7.0,0.3,25,47,44.680851063829785,1.2362051604127806,16.59841712042791,-15.130003838641079,1.0970530673651646
7.0,0.3,30,47,46.808510638297875,1.2481712431303313,17.94528211325014,-13.360159822590346,1.3431936707004755
7.0,0.4,15,48,47.91666666666667,1.1962649836911998,12.237965621611474,-12.558255152109151,0.9744956981190269
7.0,0.4,20,47,48.93617021276596,1.1544655191700182,10.181455429999168,-16.85975803374732,0.603890957961524
7.0,0.4,25,47,44.680851063829785,1.2037434098161404,14.147827415172415,-15.311775505692147,0.9239834668365511
7.0,0.4,30,47,46.808510638297875,1.2164977240121972,15.46638487546299,-13.545722081272919,1.1417910970464547
7.5,0.1,15,48,47.91666666666667,1.2800962033226075,17.96916820577224,-12.558255152109155,1.430865035637879
7.5,0.1,20,47,48.93617021276596,1.238968077885095,16.22025070154439,-16.402889534249155,0.988865447619859
7.5,0.1,25,47,44.680851063829785,1.3008145265705637,21.649773473806945,-14.943882774263928,1.448738176071066
7.5,0.1,30,47,46.808510638297875,1.3111741893569997,23.05498827279858,-13.170157466037532,1.750547655352755
7.5,0.2,15,48,47.91666666666667,1.252241048820239,16.029137389493574,-12.558255152109133,1.2763825225195806
7.5,0.2,20,47,48.93617021276596,1.2108731563153572,14.17370831014783,-16.555312571173832,0.8561425976835461
7.5,0.2,25,47,44.680851063829785,1.2685621520996246,19.098748597263366,-15.036943306452535,1.2701217400392713
7.5,0.2,30,47,46.808510638297875,1.2797300159471798,20.47449570546731,-13.265158644313974,1.5434791437073065
7.5,0.3,15,48,47.91666666666667,1.2242972377438501,14.11887790255274,-12.558255152109151,1.124270667504433
7.5,0.3,20,47,48.93617021276596,1.1827055651624485,12.16095004603936,-16.707602071006537,0.7278692654012159
7.5,0.3,25,47,44.680851063829785,1.2362051604127806,16.59841712042791,-15.130003838641079,1.0970530673651646
7.5,0.3,30,47,46.808510638297875,1.2481712431303313,17.94528211325014,-13.360159822590346,1.3431936707004755
7.5,0.4,15,48,47.91666666666667,1.1962649836911998,12.237965621611474,-12.558255152109151,0.9744956981190269
7.5,0.4,20,47,48.93617021276596,1.1544655191700182,10.181455429999168,-16.85975803374732,0.603890957961524
7.5,0.4,25,47,44.680851063829785,1.2037434098161404,14.147827415172415,-15.311775505692147,0.9239834668365511
7.5,0.4,30,47,46.808510638297875,1.2164977240121972,15.46638487546299,-13.545722081272919,1.1417910970464547
8.0,0.1,15,48,47.91666666666667,1.2800962033226075,17.96916820577224,-12.558255152109155,1.430865035637879
8.0,0.1,20,47,48.93617021276596,1.238968077885095,16.22025070154439,-16.402889534249155,0.988865447619859
8.0,0.1,25,47,44.680851063829785,1.3008145265705637,21.649773473806945,-14.943882774263928,1.448738176071066
8.0,0.1,30,47,46.808510638297875,1.3111741893569997,23.05498827279858,-13.170157466037532,1.750547655352755
8.0,0.2,15,48,47.91666666666667,1.252241048820239,16.029137389493574,-12.558255152109133,1.2763825225195806
8.0,0.2,20,47,48.93617021276596,1.2108731563153572,14.17370831014783,-16.555312571173832,0.8561425976835461
8.0,0.2,25,47,44.680851063829785,1.2685621520996246,19.098748597263366,-15.036943306452535,1.2701217400392713
8.0,0.2,30,47,46.808510638297875,1.2797300159471798,20.47449570546731,-13.265158644313974,1.5434791437073065
8.0,0.3,15,48,47.91666666666667,1.2242972377438501,14.11887790255274,-12.558255152109151,1.124270667504433
8.0,0.3,20,47,48.93617021276596,1.1827055651624485,12.16095004603936,-16.707602071006537,0.7278692654012159
8.0,0.3,25,47,44.680851063829785,1.2362051604127806,16.59841712042791,-15.130003838641079,1.0970530673651646
8.0,0.3,30,47,46.808510638297875,1.2481712431303313,17.94528211325014,-13.360159822590346,1.3431936707004755
8.0,0.4,15,48,47.91666666666667,1.1962649836911998,12.237965621611474,-12.558255152109151,0.9744956981190269
8.0,0.4,20,47,48.93617021276596,1.1544655191700182,10.181455429999168,-16.85975803374732,0.603890957961524
8.0,0.4,25,47,44.680851063829785,1.2037434098161404,14.147827415172415,-15.311775505692147,0.9239834668365511
8.0,0.4,30,47,46.808510638297875,1.2164977240121972,15.46638487546299,-13.545722081272919,1.1417910970464547
9.0,0.1,15,48,47.91666666666667,1.2800962033226075,17.96916820577224,-12.558255152109155,1.430865035637879
9.0,0.1,20,47,48.93617021276596,1.238968077885095,16.22025070154439,-16.402889534249155,0.988865447619859
9.0,0.1,25,47,44.680851063829785,1.3008145265705637,21.649773473806945,-14.943882774263928,1.448738176071066
9.0,0.1,30,47,46.808510638297875,1.3111741893569997,23.05498827279858,-13.170157466037532,1.750547655352755
9.0,0.2,15,48,47.91666666666667,1.252241048820239,16.029137389493574,-12.558255152109133,1.2763825225195806
9.0,0.2,20,47,48.93617021276596,1.2108731563153572,14.17370831014783,-16.555312571173832,0.8561425976835461
9.0,0.2,25,47,44.680851063829785,1.2685621520996246,19.098748597263366,-15.036943306452535,1.2701217400392713
9.0,0.2,30,47,46.808510638297875,1.2797300159471798,20.47449570546731,-13.265158644313974,1.5434791437073065
9.0,0.3,15,48,47.91666666666667,1.2242972377438501,14.11887790255274,-12.558255152109151,1.124270667504433
9.0,0.3,20,47,48.93617021276596,1.1827055651624485,12.16095004603936,-16.707602071006537,0.7278692654012159
9.0,0.3,25,47,44.680851063829785,1.2362051604127806,16.59841712042791,-15.130003838641079,1.0970530673651646
9.0,0.3,30,47,46.808510638297875,1.2481712431303313,17.94528211325014,-13.360159822590346,1.3431936707004755
9.0,0.4,15,48,47.91666666666667,1.1962649836911998,12.237965621611474,-12.558255152109151,0.9744956981190269
9.0,0.4,20,47,48.93617021276596,1.1544655191700182,10.181455429999168,-16.85975803374732,0.603890957961524
9.0,0.4,25,47,44.680851063829785,1.2037434098161404,14.147827415172415,-15.311775505692147,0.9239834668365511
9.0,0.4,30,47,46.808510638297875,1.2164977240121972,15.46638487546299,-13.545722081272919,1.1417910970464547
